                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.88548,                 1.3648,                 1.2209,                 0.7769,                0.81818,                0.84966,                0.49137,                 1.6056,                 1.5797,                 2.3842,              0.0058915,              0.0058915,              0.0058915
                     85,                0.79255,                 1.1221,                 1.1456,                0.84111,                0.72727,                0.84899,                 0.4529,                 1.1038,                 1.7737,                 1.8166,               0.005842,               0.005842,               0.005842
                     86,                0.84435,                 1.3037,                 1.1913,                0.87343,                0.62835,                0.82225,                0.45454,                 1.0913,                 1.6845,                 1.8318,              0.0057925,              0.0057925,              0.0057925
                     87,                0.83851,                 1.2572,                 1.1866,                0.59886,                0.72727,                0.70536,                 0.5099,                 1.0944,                 1.6711,                 1.8041,               0.005743,               0.005743,               0.005743
                     88,                 0.7791,                 1.1645,                 1.1125,                0.55371,                0.90268,                0.70842,                0.47691,                 1.0648,                 1.7265,                 1.7205,              0.0056935,              0.0056935,              0.0056935
                     89,                0.81787,                 1.0819,                 1.1556,                0.60237,                      1,                0.70964,                0.41809,                 1.0807,                 1.7936,                 1.7193,               0.005644,               0.005644,               0.005644
                     90,                0.79701,                 1.1215,                 1.1684,                0.69912,                0.84635,                0.72634,                0.40937,                 1.1578,                 1.8145,                 1.7927,              0.0055945,              0.0055945,              0.0055945
                     91,                0.87444,                 1.1899,                 1.1987,                0.63249,                0.72727,                0.70012,                 0.3981,                 1.3275,                 1.9191,                 1.6963,               0.005545,               0.005545,               0.005545
                     92,                0.81497,                 1.2236,                 1.1214,                0.57238,                0.63636,                0.68171,                0.37968,                 1.2545,                 1.9816,                 1.6871,              0.0054955,              0.0054955,              0.0054955
                     93,                0.82582,                 1.1142,                 1.1681,                 0.5905,                0.45455,                0.57782,                0.33639,                 1.1557,                 2.0426,                 1.7173,               0.005446,               0.005446,               0.005446
                     94,                0.90868,                 1.2213,                 1.1687,                0.43252,                0.63636,                0.54279,                0.34192,                 1.2049,                 2.1441,                 1.7018,              0.0053965,              0.0053965,              0.0053965
                     95,                  0.776,                 1.2139,                 1.1449,                0.37267,                0.36364,                0.42301,                0.28606,                 1.4726,                 2.3854,                 1.8614,               0.005347,               0.005347,               0.005347
                     96,                0.91663,                 1.2232,                 1.1977,                0.55069,                0.44658,                0.48462,                0.29946,                 1.4213,                  2.271,                 1.8756,              0.0052975,              0.0052975,              0.0052975
                     97,                0.96649,                 1.3207,                 1.3283,                0.72809,                0.36364,                0.46782,                0.31416,                 1.2526,                  2.253,                 1.7835,               0.005248,               0.005248,               0.005248
                     98,                0.69259,                 1.0475,                 1.0857,                 0.7125,                0.45115,                 0.5457,                0.35717,                 1.0627,                 2.0815,                 1.5944,              0.0051985,              0.0051985,              0.0051985
                     99,                0.81132,                 1.1447,                 1.1086,                0.47765,                0.66632,                0.53139,                0.38418,                 1.0021,                 2.0267,                 1.6025,               0.005149,               0.005149,               0.005149
                    100,                0.66181,                 1.0292,                 1.0584,                0.74361,                0.52918,                0.57433,                0.35976,                 1.0364,                 2.2389,                 1.6319,              0.0050995,              0.0050995,              0.0050995
                    101,                0.71576,                 1.0301,                 1.1255,                0.53711,                0.63316,                0.55784,                0.31719,                 1.1502,                 2.3571,                 1.7858,                0.00505,                0.00505,                0.00505
                    102,                0.78209,                  1.008,                 1.1413,                0.37736,                0.72727,                0.41289,                0.24335,                 1.1495,                 2.3825,                 1.7439,              0.0050005,              0.0050005,              0.0050005
                    103,                0.83742,                 1.0701,                 1.1883,                0.35535,                0.65208,                0.41146,                0.26598,                 1.1799,                 2.3142,                 1.7465,               0.004951,               0.004951,               0.004951
                    104,                0.81895,                 1.1273,                 1.1849,                0.45123,                0.52458,                0.43305,                0.29107,                 1.1787,                 2.2462,                 1.7554,              0.0049015,              0.0049015,              0.0049015
                    105,                0.79888,                 1.1417,                 1.1272,                0.37348,                0.45455,                0.40391,                0.28239,                 1.1137,                 2.3173,                 1.6528,               0.004852,               0.004852,               0.004852
                    106,                0.75461,                 1.0847,                 1.1515,                 0.4194,                0.72727,                0.51193,                0.34381,                 1.1293,                  2.233,                 1.7081,              0.0048025,              0.0048025,              0.0048025
                    107,                0.70293,                 1.0283,                  1.112,                0.39638,                0.63636,                0.53695,                0.32706,                 1.2568,                 2.1593,                 1.7571,               0.004753,               0.004753,               0.004753
                    108,                0.72305,                0.99163,                 1.1454,                0.54503,                0.87249,                0.60219,                0.36508,                 1.1129,                  2.011,                 1.6315,              0.0047035,              0.0047035,              0.0047035
                    109,                0.84277,                 1.1033,                 1.1401,                0.33361,                0.45455,                0.45614,                0.30467,                 1.1607,                 2.1081,                 1.5708,               0.004654,               0.004654,               0.004654
